"Kod";"Nazwa";"Rodzaje towarów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"1999";2,55;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2000";2,69;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2001";2,91;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2002";3,16;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2003";2,99;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2004";2,62;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2005";2,61;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2006";2,83;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2007";2,98;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2008";3,14;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2009";3,24;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2010";3,34;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2011";3,61;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2012";3,61;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2013";3,51;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2014";3,42;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2015";3,42;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2016";3,56;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2017";3,40;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2018";3,61;"zł";"";
0000000;"POLSKA";"mieszanka mrożona marchew i groszek - za 1kg";"2019";3,55;"zł";"";
0000000;"POLSKA";"koncentrat pomidorowy 30% - za 1kg";"1999";6,53;"zł";"";
