"Kod";"Nazwa";"Rodzaje produktów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"1999";8,36;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2000";9,11;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2001";9,93;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2002";9,56;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2003";7,67;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2004";8,72;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2005";8,46;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2006";8,30;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2007";8,20;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2008";8,68;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2009";9,65;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2010";9,24;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2011";9,75;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2012";10,98;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2013";11,03;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2014";10,61;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2015";9,81;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2016";9,70;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2017";10,23;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2018";10,08;"zł";"";
0000000;"POLSKA";"mięso wieprzowe z kością (łopatka) - za 1kg";"2019";11,27;"zł";"";
0000000;"POLSKA";"mięso  wieprzowe z kością (schab środkowy) - za 1kg";"1999";11,13;"zł";"";
0000000;"POLSKA";"mięso  wieprzowe z kością (schab środkowy) - za 1kg";"2000";12,14;"zł";"";
0000000;"POLSKA";"mięso  wieprzowe z kością (schab środkowy) - za 1kg";"2001";12,99;"zł";"";
