"Kod";"Nazwa";"Rodzaje towarów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"1999";0,20;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2000";0,26;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2001";0,29;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2002";0,25;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2003";0,27;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2004";0,34;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2005";0,21;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2006";0,20;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2007";0,21;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2008";0,23;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2009";0,27;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2010";0,27;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2011";0,26;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2012";0,41;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2013";0,32;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2014";0,29;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2015";0,30;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2016";0,26;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2017";0,35;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2018";0,32;"zł";"";
0000000;"POLSKA";"jaja kurze świeże - za 1szt.";"2019";0,30;"zł";"";
0000000;"POLSKA";"cukier biały z buraków cukrowych, workowany - za 1kg";"1999";1,85;"zł";"";
0000000;"POLSKA";"cukier biały z buraków cukrowych, workowany - za 1kg";"2000";2,36;"zł";"";
