"Kod";"Nazwa";"Rodzaje produktów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"chleb 1kg";"1999";1,81;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2000";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2001";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2002";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2003";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2004";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2005";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2006";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2007";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2008";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2009";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2010";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2011";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2012";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2013";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2014";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2015";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2016";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2017";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2018";;"zł";"";
0000000;"POLSKA";"chleb 1kg";"2019";;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"1999";;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2000";2,14;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2001";2,33;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2002";2,28;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2003";2,20;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2004";2,27;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2005";2,29;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2006";2,32;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2007";2,69;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2008";3,12;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2009";3,16;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2010";3,24;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2011";3,58;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2012";3,75;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2013";3,89;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2014";3,92;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2015";3,98;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2016";3,96;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2017";4,01;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2018";4,13;"zł";"";
0000000;"POLSKA";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2019";4,41;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"1999";0,95;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2000";1,09;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2001";0,99;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2002";0,87;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2003";0,85;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2004";0,98;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2005";0,69;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2006";0,80;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2007";1,08;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2008";1,14;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2009";0,84;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2010";1,01;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2011";1,36;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2012";1,32;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2013";1,30;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2014";1,10;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2015";1,07;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2016";0,97;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2017";1,04;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2018";1,11;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2019";1,18;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"1999";1,10;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2000";1,33;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2001";1,31;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2002";1,23;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2003";1,15;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2004";1,25;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2005";1,10;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2006";1,04;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2007";1,32;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2008";1,55;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2009";1,37;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2010";1,32;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2011";1,76;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2012";1,88;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2013";2,06;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2014";2,13;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2015";2,10;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2016";2,26;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2017";2,08;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2018";1,83;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2019";1,89;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"1999";2,99;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2000";3,04;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2001";3,01;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2002";2,87;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2003";3,16;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2004";3,27;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2005";2,72;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2006";2,71;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2007";3,88;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2008";3,57;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2009";3,01;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2010";4,52;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2011";6,68;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2012";4,53;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2013";4,85;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2014";5,00;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2015";5,04;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2016";5,36;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2017";5,00;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2018";4,33;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2019";4,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"1999";1,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2000";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2001";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2002";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2003";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2004";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2005";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2006";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2007";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2008";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2009";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2010";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2011";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2013";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2014";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2015";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2016";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2017";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2018";;"zł";"";
